Question_EN,Question_TE,OptionA_EN,OptionA_TE,OptionB_EN,OptionB_TE,OptionC_EN,OptionC_TE,OptionD_EN,OptionD_TE,Answer
"The Supreme Court consists of a Chief Justice and how many other judges?",సుప్రీంకోర్టులో ప్రధాన న్యాయమూర్తితో పాటు ఎంత మంది న్యాయమూర్తులు ఉంటారు?,25,25,30,30,33,33,34,34,C
"Who has the power to decide on the disqualification of members of Parliament?",పార్లమెంటు సభ్యుల అనర్హతపై నిర్ణయించే అధికారం ఎవరికి ఉంది?,President,రాష్ట్రపతి,"Election Commission",ఎన్నికల సంఘం,Speaker/Chairman,స్పీకర్/చైర్మన్,"Supreme Court",సుప్రీంకోర్టు,C
"The concept of Collegium System is related to?",కొలీజియం వ్యవస్థ భావన దేనికి సంబంధించినది?,"Appointment of Judges",న్యాయమూర్తుల నియామకం,"Election of President",రాష్ట్రపతి ఎన్నిక,"Formation of Committees",కమిటీల ఏర్పాటు,"Cabinet Formation",మంత్రివర్గ ఏర్పాటు,A
"Which Article provides for the Official Language of the Union?",కేంద్ర ప్రభుత్వ అధికార భాష కోసం ఏ ఆర్టికల్ అందిస్తుంది?,"Article 343",ఆర్టికల్ 343,"Article 344",ఆర్టికల్ 344,"Article 345",ఆర్టికల్ 345,"Article 350",ఆర్టికల్ 350,A
"The Chairman of Rajya Sabha can be removed by?",రాజ్యసభ ఛైర్మన్‌ను ఎవరు తొలగించవచ్చు?,"Rajya Sabha members",రాజ్యసభ సభ్యులు,"President",రాష్ట్రపతి,"Both Houses of Parliament",పార్లమెంటు రెండు సభలు,"Cannot be removed",తొలగించలేరు,D
"Which committee is known as the Mini Parliament?",ఏ కమిటీని చిన్న పార్లమెంటు అని పిలుస్తారు?,"Public Accounts Committee",ప్రజా లెక్కల కమిటీ,"Estimates Committee",అంచనాల కమిటీ,"Committee on Public Undertakings",ప్రజా సంస్థల కమిటీ,"Rules Committee",నియమాల కమిటీ,A
"The reservation for women in Panchayats is?",పంచాయితీలలో మహిళలకు రిజర్వేషన్ ఎంత?,"25%",25%,"30%",30%,"33%",33%,"50%",50%,C
"Which Article prohibits discrimination on grounds of religion race caste sex or place of birth?",మతం జాతి కులం లింగం లేదా జన్మస్థలం ఆధారంగా వివక్ష చూపడాన్ని నిషేధించే ఆర్టికల్ ఏది?,"Article 14",ఆర్టికల్ 14,"Article 15",ఆర్టికల్ 15,"Article 16",ఆర్టికల్ 16,"Article 17",ఆర్టికల్ 17,B
"What is the current Cash Reserve Ratio as per RBI?",RBI ప్రకారం ప్రస్తుత నగదు నిల్వ నిష్పత్తి ఎంత?,"3.5%",3.5%,"4.0%",4.0%,"4.5%",4.5%,"5.0%",5.0%,C
"The Monetary Policy Committee consists of how many members?",ద్రవ్య విధాన కమిటీలో ఎంత మంది సభ్యులు ఉంటారు?,4,4,5,5,6,6,7,7,C
"Which index measures income inequality?",ఆదాయ అసమానతను కొలిచే సూచిక ఏది?,"Consumer Price Index",వినియోగదారు ధరల సూచిక,"Gini Coefficient",గిని గుణకం,"Human Development Index",మానవ అభివృద్ధి సూచిక,"Wholesale Price Index",టోకు ధరల సూచిక,B
"The National Stock Exchange was established in which year?",జాతీయ స్టాక్ ఎక్స్ఛేంజ్ ఏ సంవత్సరంలో స్థాపించబడింది?,1988,1988,1992,1992,1994,1994,1996,1996,B
"What is the full form of MGNREGA?",MGNREGA యొక్క పూర్తి రూపం ఏమిటి?,"Mahatma Gandhi National Rural Employment Guarantee Act",మహాత్మా గాంధీ జాతీయ గ్రామీణ ఉపాధి హామీ చట్టం,"Mahatma Gandhi National Road Employment Guarantee Act",మహాత్మా గాంధీ జాతీయ రహదారి ఉపాధి హామీ చట్టం,"Mahatma Gandhi National Revenue Employment Guarantee Act",మహాత్మా గాంధీ జాతీయ రెవెన్యూ ఉపాధి హామీ చట్టం,"Mahatma Gandhi National Rehabilitation Employment Guarantee Act",మహాత్మా గాంధీ జాతీయ పునరావాస ఉపాధి హామీ చట్టం,A
"The term Blue Revolution is related to?",నీల విప్లవం దేనికి సంబంధించినది?,Fisheries,మత్స్య సంపద,Agriculture,వ్యవసాయం,Dairy,పాల ఉత్పత్తి,Horticulture,ఉద్యానవనం,A
"NITI Aayog was established in which year?",నీతి ఆయోగ్ ఏ సంవత్సరంలో స్థాపించబడింది?,2014,2014,2015,2015,2016,2016,2017,2017,B
"The Insolvency and Bankruptcy Code was enacted in?",దివాలా మరియు దివాలా కోడ్ ఎప్పుడు అమలు చేయబడింది?,2014,2014,2015,2015,2016,2016,2017,2017,C
"What is the base year for calculation of GDP in India?",భారతదేశంలో GDP లెక్కింపు కోసం ఆధార సంవత్సరం ఏది?,2004-05,2004-05,2011-12,2011-12,2014-15,2014-15,2017-18,2017-18,B
"The Pradhan Mantri Jan Dhan Yojana was launched in?",ప్రధాన మంత్రి జన్ ధన్ యోజన ఎప్పుడు ప్రారంభించబడింది?,2013,2013,2014,2014,2015,2015,2016,2016,B
"Which state launched the Rythu Bandhu scheme?",ఏ రాష్ట్రం రైతు బంధు పథకాన్ని ప్రారంభించింది?,Telangana,తెలంగాణ,"Andhra Pradesh",ఆంధ్రప్రదేశ్,Karnataka,కర్ణాటక,"Tamil Nadu",తమిళనాడు,A
"The Bharat Stage VI emission norms were implemented from?",భారత్ స్టేజ్ VI ఉద్గార ప్రమాణాలు ఎప్పటి నుండి అమలు చేయబడ్డాయి?,"April 2019","ఏప్రిల్ 2019","April 2020","ఏప్రిల్ 2020","April 2021","ఏప్రిల్ 2021","April 2022","ఏప్రిల్ 2022",B
"Andhra Pradesh's three capitals are?",ఆంధ్రప్రదేశ్ మూడు రాజధానులు?,"Amaravati Visakhapatnam Kurnool",అమరావతి విశాఖపట్నం కర్నూలు,"Amaravati Visakhapatnam Tirupati",అమరావతి విశాఖపట్నం తిరుపతి,"Amaravati Vijayawada Visakhapatnam",అమరావతి విజయవాడ విశాఖపట్నం,"Amaravati Kurnool Tirupati",అమరావతి కర్నూలు తిరుపతి,A
"Which is the longest river in India?",భారతదేశంలో అతి పొడవైన నది ఏది?,Godavari,గోదావరి,Krishna,కృష్ణ,Ganga,గంగ,Brahmaputra,బ్రహ్మపుత్ర,C
"The Deccan Plateau is composed mainly of?",దక్కన్ పీఠభూమి ప్రధానంగా దేనితో రూపొందించబడింది?,"Sedimentary rocks",అవక్షేపణ శిలలు,"Metamorphic rocks",రూపాంతర శిలలు,"Igneous rocks",అగ్ని శిలలు,"Limestone",సున్నపురాయి,C
"Which state has the longest coastline in India?",భారతదేశంలో అతి పొడవైన తీరప్రాంతం కలిగిన రాష్ట్రం ఏది?,Maharashtra,మహారాష్ట్ర,Gujarat,గుజరాత్,"Andhra Pradesh",ఆంధ్రప్రదేశ్,"Tamil Nadu",తమిళనాడు,B
"The Indian Standard Time is ahead of Greenwich Mean Time by?",భారత ప్రామాణిక సమయం గ్రీన్‌విచ్ మీన్ టైమ్ కంటే ఎంత ముందు ఉంది?,"4 hours 30 minutes",4 గంటలు 30 నిమిషాలు,"5 hours",5 గంటలు,"5 hours 30 minutes",5 గంటలు 30 నిమిషాలు,"6 hours",6 గంటలు,C
"The Western Ghats are also known as?",పశ్చిమ కనుమలను వేరే పేరు ఏమిటి?,Vindhyas,వింధ్యాలు,Sahyadris,సహ్యాద్రులు,Aravallis,అరావళ్లు,Satpuras,సాత్పురాలు,B
"Which river is known as the Sorrow of Bihar?",ఏ నదిని బీహార్ దుఃఖం అని పిలుస్తారు?,Ganga,గంగ,Yamuna,యమునా,Kosi,కోసీ,Gandak,గండక్,C
"The Andaman and Nicobar Islands are separated from Sumatra by?",అండమాన్ మరియు నికోబార్ ద్వీపాలు సుమత్రా నుండి దేని ద్వారా వేరు చేయబడ్డాయి?,"Ten Degree Channel",పది డిగ్రీల కాలువ,"Eight Degree Channel",ఎనిమిది డిగ్రీల కాలువ,"Nine Degree Channel",తొమ్మిది డిగ్రీల కాలువ,"Great Channel",గ్రేట్ ఛానల్,A
"Which soil is most suitable for cotton cultivation?",పత్తి సాగుకు అత్యంత అనుకూలమైన నేల ఏది?,"Alluvial soil",ఒండ్రు మట్టి,"Black soil",నల్ల మట్టి,"Red soil",ఎరుపు మట్టి,"Laterite soil",లాటరైట్ మట్టి,B
"The Brahmaputra River enters India through which state?",బ్రహ్మపుత్ర నది ఏ రాష్ట్రం ద్వారా భారతదేశంలోకి ప్రవేశిస్తుంది?,"Arunachal Pradesh",అరుణాచల్ప్రదేశ్,Assam,అస్సాం,Sikkim,సిక్కిం,"West Bengal",పశ్చిమ బెంగాల్,A
"The Krishna River originates from?",కృష్ణా నది ఎక్కడ నుండి ఉద్భవిస్తుంది?,Amarkantak,అమరకంటక,Mahabaleshwar,మహాబలేశ్వర్,Trimbakeshwar,త్రింబకేశ్వర్,Brahmagiri,బ్రహ్మగిరి,B
"Which mineral is found in abundance in the Anantapur district?",అనంతపురం జిల్లాలో సమృద్ధిగా కనిపించే ఖనిజం ఏది?,Coal,బొగ్గు,Gold,బంగారం,Iron,ఇనుము,Bauxite,బాక్సైట్,B
"The Horsley Hills are located in which district of AP?",హార్స్లీ కొండలు AP లోని ఏ జిల్లాలో ఉన్నాయి?,Chittoor,చిత్తూరు,Anantapur,అనంతపురం,Kadapa,కడప,Kurnool,కర్నూలు,B
"What is the full form of CRISPR?",CRISPR యొక్క పూర్తి రూపం ఏమిటి?,"Clustered Regularly Interspaced Short Palindromic Repeats",క్లస్టర్డ్ రెగ్యులర్లీ ఇంటర్‌స్పేస్డ్ షార్ట్ పాలిండ్రోమిక్ రిపీట్స్,"Controlled Regularly Interspaced Short Palindromic Repeats",కంట్రోల్డ్ రెగ్యులర్లీ ఇంటర్‌స్పేస్డ్ షార్ట్ పాలిండ్రోమిక్ రిపీట్స్,"Clustered Randomly Interspaced Short Palindromic Repeats",క్లస్టర్డ్ రాండమ్లీ ఇంటర్‌స్పేస్డ్ షార్ట్ పాలిండ్రోమిక్ రిపీట్స్,"Clustered Regularly Integrated Short Palindromic Repeats",క్లస్టర్డ్ రెగ్యులర్లీ ఇంటిగ్రేటెడ్ షార్ట్ పాలిండ్రోమిక్ రిపీట్స్,A
"The James Webb Space Telescope was launched in?",జేమ్స్ వెబ్ స్పేస్ టెలిస్కోప్ ఎప్పుడు ప్రయోగించబడింది?,2020,2020,2021,2021,2022,2022,2023,2023,B
"Which element is used in computer chips?",కంప్యూటర్ చిప్‌లలో ఏ మూలకం ఉపయోగించబడుతుంది?,Carbon,కార్బన్,Silicon,సిలికాన్,Germanium,జర్మేనియం,Gallium,గాలియం,B
"The unit of electrical resistance is?",విద్యుత్ నిరోధకత యూనిట్ ఏమిటి?,Ampere,ఆంపియర్,Volt,వోల్ట్,Ohm,ఓం,Watt,వాట్,C
"What is the speed of light in vacuum?",శూన్యంలో కాంతి వేగం ఎంత?,"3 x 10^8 m/s",3 x 10^8 మీ/సె,"2 x 10^8 m/s",2 x 10^8 మీ/సె,"4 x 10^8 m/s",4 x 10^8 మీ/సె,"5 x 10^8 m/s",5 x 10^8 మీ/సె,A
"The largest gland in the human body is?",మానవ శరీరంలో అతిపెద్ద గ్రంథి ఏది?,Pancreas,క్లోమం,Liver,కాలేయం,Thyroid,థైరాయిడ్,Pituitary,పిట్యూటరీ,B
"Dolly the sheep was cloned in which year?",డాలీ గొఱ్ఱెను ఏ సంవత్సరంలో క్లోన్ చేశారు?,1994,1994,1996,1996,1998,1998,2000,2000,B
"The Aditya L1 mission is related to the study of?",ఆదిత్య L1 మిషన్ దేని అధ్యయనానికి సంబంధించినది?,Moon,చంద్రుడు,Sun,సూర్యుడు,Mars,అంగారకుడు,Venus,శుక్రుడు,B
"Which gas is known as laughing gas?",ఏ వాయువును నవ్వు వాయువు అని పిలుస్తారు?,"Nitric oxide",నైట్రిక్ ఆక్సైడ్,"Nitrous oxide",నైట్రస్ ఆక్సైడ్,"Carbon dioxide",కార్బన్ డై ఆక్సైడ్,Methane,మీథేన్,B
"The study of earthquakes is called?",భూకంపాల అధ్యయనాన్ని ఏమని పిలుస్తారు?,Seismology,భూకంప శాస్త్రం,Geology,భూ శాస్త్రం,Meteorology,వాతావరణ శాస్త్రం,Oceanography,సముద్ర శాస్త్రం,A
"Who was elected as the Chief Minister of Mizoram in 2023?",2023లో మిజోరం ముఖ్యమంత్రిగా ఎవరు ఎన్నికయ్యారు?,Zoramthanga,జొరామ్థాంగా,Lalduhoma,లాల్దుహోమా,"Pu Lalchamliana",పు లాల్చామ్లియానా,"T.J. Lalnuntluanga",టి.జె. లాల్నుంత్లువాంగా,B
"India successfully landed Chandrayaan-3 on the Moon on?",భారతదేశం చంద్రయాన్-3ను చంద్రునిపై విజయవంతంగా ల్యాండ్ చేసింది?,"July 14 2023","జూలై 14 2023","August 23 2023","ఆగస్టు 23 2023","September 7 2023","సెప్టెంబర్ 7 2023","October 2 2023","అక్టోబర్ 2 2023",B
"The FIFA Women's World Cup 2023 was won by?",FIFA మహిళల ప్రపంచ కప్ 2023ను ఎవరు గెలుచుకున్నారు?,Spain,స్పెయిన్,England,ఇంగ్లాండ్,USA,USA,Australia,ఆస్ట్రేలియా,A
"Who won the Nobel Prize in Literature 2023?",2023 సాహిత్యంలో నోబెల్ బహుమతిని ఎవరు గెలుచుకున్నారు?,"Jon Fosse",జాన్ ఫాస్,Annie Ernaux,ఆనీ ఎర్నాక్స్,"Abdulrazak Gurnah",అబ్దుల్‌రజాక్ గుర్నా,"Louise Glück",లూయిస్ గ్లక్,A
"India assumed the G20 Presidency in?",భారతదేశం G20 అధ్యక్ష పదవిని ఎప్పుడు స్వీకరించింది?,"December 2022","డిసెంబర్ 2022","January 2023","జనవరి 2023","February 2023","ఫిబ్రవరి 2023","March 2023","మార్చి 2023",A
"Who is the present Governor of Andhra Pradesh as of 2024?",2024 నాటికి ఆంధ్రప్రదేశ్ ప్రస్తుత గవర్నర్ ఎవరు?,"Biswabhusan Harichandan",బిశ్వభూషణ్ హరిచందన్,"S. Abdul Nazeer",ఎస్. అబ్దుల్ నజీర్,"Haribhau Kisanrao Bagde",హరిభావ్ కిసన్రావ్ బాగ్డే,"E.S.L. Narasimhan",ఈ.ఎస్.ఎల్. నరసింహన్,B
"The 141st IOC Session was held in which city in 2023?",141వ IOC సమావేశం 2023లో ఏ నగరంలో జరిగింది?,Mumbai,ముంబయి,Paris,పారిస్,Tokyo,టోక్యో,London,లండన్,A
"Who won the 2023 Asian Games men's javelin throw gold?",2023 ఆసియా క్రీడలలో పురుషుల జావెలిన్ త్రో బంగారు పతకాన్ని ఎవరు గెలుచుకున్నారు?,"Neeraj Chopra",నీరజ్ చోప్రా,"Arshad Nadeem",అర్షద్ నదీమ్,"Kishore Jena",కిషోర్ జేనా,"Shivpal Singh",శివ్‌పాల్ సింగ్,A
"The Unified Pension Scheme was announced in?",ఏకీకృత పెన్షన్ పథకం ఎప్పుడు ప్రకటించబడింది?,2022,2022,2023,2023,2024,2024,2025,2025,C
"India's first Hydrogen Fuel Cell Ferry was launched in?",భారతదేశం యొక్క మొదటి హైడ్రోజన్ ఇంధన సెల్ ఫెర్రీ ఎక్కడ ప్రారంభించబడింది?,Kerala,కేరళ,Goa,గోవా,Maharashtra,మహారాష్ట్ర,Gujarat,గుజరాత్,A
"The Ayushman Bharat Digital Mission was launched in?",ఆయుష్మాన్ భారత్ డిజిటల్ మిషన్ ఎప్పుడు ప్రారంభించబడింది?,2020,2020,2021,2021,2022,2022,2023,2023,B
"Mission Mausam was announced with a budget of?",మిషన్ మౌసమ్ ఎంత బడ్జెట్‌తో ప్రకటించబడింది?,"Rs 1000 crore",రూ 1000 కోట్లు,"Rs 2000 crore",రూ 2000 కోట్లు,"Rs 3000 crore",రూ 3000 కోట్లు,"Rs 5000 crore",రూ 5000 కోట్లు,B
"The headquarters of the National Medical Commission is located in?",జాతీయ వైద్య కమిషన్ ప్రధాన కార్యాలయం ఎక్కడ ఉంది?,"New Delhi",న్యూఢిల్లీ,Mumbai,ముంబయి,Chennai,చెన్నై,Kolkata,కోల్‌కతా,A
"India's first bullet train corridor is between?",భారతదేశం యొక్క మొదటి బుల్లెట్ రైలు కారిడార్ ఎక్కడ మధ్య ఉంది?,"Mumbai-Ahmedabad",ముంబయి-అహ్మదాబాద్,"Delhi-Varanasi",ఢిల్లీ-వారణాసి,"Mumbai-Nagpur",ముంబయి-నాగ్‌పూర్,"Delhi-Amritsar",ఢిల్లీ-అమృత్‌సర్,A
"The PM Vishwakarma Scheme was launched for?",PM విశ్వకర్మ పథకం ఎవరి కోసం ప్రారంభించబడింది?,Farmers,రైతులు,Artisans,శిల్పకారులు,Students,విద్యార్థులు,Women,మహిళలు,B
"In a certain code language if CAT is coded as 24 then DOG is coded as?",ఒక నిర్దిష్ట కోడ్ భాషలో CAT ను 24 గా కోడ్ చేసినట్లయితే DOG ను ఎలా కోడ్ చేస్తారు?,26,26,27,27,29,29,30,30,A
"If 2 4 8 16 then the next number is?",2 4 8 16 అయితే తదుపరి సంఖ్య ఎంత?,24,24,28,28,32,32,36,36,C
"Find the odd one: Triangle Square Circle Pentagon",బేరిదైనదాన్ని కనుగొనండి: త్రిభుజం చతురస్రం వృత్తం పంచభుజి,Triangle,త్రిభుజం,Square,చతురస్రం,Circle,వృత్తం,Pentagon,పంచభుజి,C
"If DELHI is coded as 73541 then LUCKNOW is coded as?",DELHI ను 73541 గా కోడ్ చేసినట్లయితే LUCKNOW ను ఎలా కోడ్ చేస్తారు?,138459,138459,147859,147859,not determinable,నిర్ణయించలేము,528469,528469,C
"Complete the series: A D G J ?",శ్రేణిని పూరించండి: A D G J ?,K,K,L,L,M,M,N,N,C
"If A runs faster than B and C runs slower than B then?",A కంటే B వేగంగా పరిగెత్తితే మరియు C కంటే B నెమ్మదిగా పరిగెత్తితే?,"A is fastest",A వేగవంతమైనది,"C is fastest",C వేగవంతమైనది,"A is slowest",A నెమ్మదైనది,"Cannot determine",నిర్ణయించలేము,A
"In a family A is father of B B is brother of C C is mother of D How is A related to D?",ఒక కుటుంబంలో A B కు తండ్రి B C కు సోదరుడు C D కు తల్లి A D కు ఎలా సంబంధం?,Father,తండ్రి,Grandfather,తాత,Uncle,మామయ్య,Brother,సోదరుడు,B
"Which number should replace the question mark: 2 6 12 20 30 ?",ప్రశ్న గుర్తు స్థానంలో ఏ సంఖ్య ఉండాలి: 2 6 12 20 30 ?,40,40,42,42,44,44,48,48,B
"The capital of the Ikshvaku dynasty was?",ఇక్ష్వాకు రాజవంశం రాజధాని ఏది?,Amaravati,అమరావతి,Vijayapuri,విజయపురి,Nagarjunakonda,నాగార్జునకొండ,Warangal,వరంగల్,B
"Who was the founder of the Satavahana dynasty?",శాతవాహన రాజవంశ స్థాపకుడు ఎవరు?,Simuka,సిముక,Satakarni,శాతకర్ణి,Hala,హాల,Pulumavi,పులుమావి,A
"The Buddhist stupa at Bhattiprolu was discovered in?",భట్టిప్రోలు వద్ద బౌద్ధ స్తూపం ఎప్పుడు కనుగొనబడింది?,1870,1870,1892,1892,1906,1906,1920,1920,B
"The famous Buddhist site Dhanyakataka is located at?",ప్రసిద్ధ బౌద్ధ స్థలం ధాన్యకటకం ఎక్కడ ఉంది?,Amaravati,అమరావతి,Nagarjunakonda,నాగార్జునకొండ,Guntupalli,గుంటుపల్లి,Salihundam,సాలిహుండం,A
"The Kakatiya dynasty ruled from?",కాకతీయ రాజవంశం ఎక్కడ నుండి పాలించింది?,Warangal,వరంగల్,Kondavidu,కొండవీడు,Rajahmundry,రాజమండ్రి,Nellore,నెల్లూరు,A
"The famous Thousand Pillar Temple was built by?",ప్రసిద్ధ వేయి స్తంభాల దేవాలయం ఎవరు నిర్మించారు?,Prataparudra,ప్రతాపరుద్రుడు,"Rudrama Devi",రుద్రమదేవి,Ganapati Deva,గణపతి దేవుడు,"Rudra Deva",రుద్రదేవుడు,D
"Which Kakatiya ruler assumed the title Rudra Deva Maharaja?",ఏ కాకతీయ పాలకుడు రుద్రదేవ మహారాజ బిరుదు స్వీకరించాడు?,Prola,ప్రోలా,Beta,బేటా,Ganapati,గణపతి,Prataparudra,ప్రతాపరుద్రుడు,C
"The Vijayanagara ruler who defeated the Bahmanis at the Battle of Raichur was?",రైచూరు యుద్ధంలో బహ్మనీలను ఓడించిన విజయనగర పాలకుడు ఎవరు?,Harihara,హరిహర,Bukka,బుక్క,Krishnadevaraya,కృష్ణదేవరాయ,Saluva Narasimha,సాలువ నరసింహ,C
"Krishnadevaraya's court poet Allasani Peddana wrote?",కృష్ణదేవరాయ సభాకవి అల్లసాని పెద్దన రాసింది?,Amuktamalyada,ఆముక్తమాల్యద,Manucharitamu,మనుచరితము,Panduranga Mahatyamu,పాండురంగ మహాత్యము,Basava Purana,బసవ పురాణం,B
"The Qutb Shahi dynasty was founded by?",ఖుతుబ్ షాహీ రాజవంశాన్ని ఎవరు స్థాపించారు?,"Sultan Quli Qutb Shah",సుల్తాన్ కులీ ఖుతుబ్ షా,"Muhammad Quli Qutb Shah",ముహమ్మద్ కులీ ఖుతుబ్ షా,"Ibrahim Quli Qutb Shah",ఇబ్రహీం కులీ ఖుతుబ్ షా,"Abdullah Qutb Shah",అబ్దుల్లా ఖుతుబ్ షా,A
"The Charminar was built by?",చార్మినార్‌ను ఎవరు నిర్మించారు?,"Sultan Quli Qutb Shah",సుల్తాన్ కులీ ఖుతుబ్ షా,"Muhammad Quli Qutb Shah",ముహమ్మద్ కులీ ఖుతుబ్ షా,"Ibrahim Quli Qutb Shah",ఇబ్రహీం కులీ ఖుతుబ్ షా,"Abdullah Qutb Shah",అబ్దుల్లా ఖుతుబ్ షా,B
"The Golconda Fort was famous for?",గోల్కొండ కోట దేనికి ప్రసిద్ధి చెందింది?,"Diamond trade",వజ్రాల వ్యాపారం,Textiles,వస్త్రాలు,Spices,మసాలాలు,Pearls,ముత్యాలు,A
"Who completed the Telugu Mahabharata started by Nannaya?",నన్నయ ప్రారంభించిన తెలుగు మహాభారతాన్ని ఎవరు పూర్తి చేశారు?,Tikkana,తిక్కన,Errapragada,ఎర్రప్రగడ,"Tikkana and Errapragada",తిక్కన మరియు ఎర్రప్రగడ,Pothana,పోతన,C
"Pothana wrote?",పోతన రాసింది?,Mahabharatamu,మహాభారతము,Ramayanamu,రామాయణము,"Srimad Bhagavatamu",శ్రీమద్ భాగవతము,Basava Purana,బసవ పురాణం,C
"The French established their factory at Masulipatnam in?",ఫ్రెంచ్ వారు మసులిపట్నం వద్ద తమ కర్మాగారాన్ని ఎప్పుడు స్థాపించారు?,1669,1669,1686,1686,1739,1739,1753,1753,A
"The Northern Circars were ceded to the British by?",ఉత్తర సర్కార్లు బ్రిటిష్ వారికి ఎవరు అప్పగించారు?,Nizam,నిజాం,French,ఫ్రెంచ్,Dutch,డచ్,Portuguese,పోర్చుగీసులు,A
"The Polygar Wars in Andhra were fought against?",ఆంధ్రలో పాళేగార్ యుద్ధాలు ఎవరికి వ్యతిరేకంగా జరిగాయి?,French,ఫ్రెంచ్,British,బ్రిటిష్,Dutch,డచ్,Mughals,మొఘలులు,B
"The Revolt of 1857 in Andhra was led by?",ఆంధ్రలో 1857 తిరుగుబాటుకు ఎవరు నాయకత్వం వహించారు?,Vasudev Balwant Phadke,వాసుదేవ్ బల్వంత్ ఫడ్కే,"Turpu Kapu chiefs",తుర్పు కాపు నాయకులు,"Nellore zamindars",నెల్లూరు జమీందార్లు,Peasants of Godavari,గోదావరి రైతులు,B
"Who founded the Vande Mataram newspaper?",వందేమాతరం వార్తాపత్రికను ఎవరు స్థాపించారు?,"Bipin Chandra Pal",బిపిన్ చంద్ర పాల్,Aurobindo Ghosh,అరబిందో ఘోష్,Lala Lajpat Rai,లాలా లజపత్ రాయ్,"Bal Gangadhar Tilak",బాల్ గంగాధర్ తిలక్,B
"The Andhra Pradesh Provincial Congress Committee was formed in?",ఆంధ్రప్రదేశ్ ప్రాంతీయ కాంగ్రెస్ కమిటీ ఎప్పుడు ఏర్పడింది?,1913,1913,1917,1917,1920,1920,1928,1928,D
